query_label	positive_label	negatives_label
Apparel & Accessories	Animals & Pet Supplies	['Baby Care Timers', 'Pet Bowl Stands', 'Headboards & Footboards', 'Drain Covers & Strainers', 'Barware', 'Lighting & Studio', 'Changing Tables', 'Medical Needles & Syringes', 'Tambourines', 'Baby Safety Locks & Guards']
Arts & Entertainment	Animals & Pet Supplies	['Watercraft Fuel Meters', 'Tool Organizer Liners & Inserts', 'Can & Bottle Sleeves', 'Whisks', 'Whips', 'Model Rocketry', 'Urinary Tract Infection Tests', 'Household Appliance Accessories', 'Sleeping Bag Liners', 'Changing Mats & Trays']
Toys & Games	Animals & Pet Supplies	['Floats', 'Shallots', 'Reptile & Amphibian Habitat Heating & Lighting', 'Backrest Pillows', 'Computer Servers', 'Greeting Card Organizers', 'Electronic Musical Instruments', 'Markers & Highlighters', 'Garlic Presses', 'Knitting Needles']
Animals & Pet Supplies	Vehicles & Parts	['Go Karts & Dune Buggies', 'Tool Files', 'Adapters', 'Tennis Racquet Grommets', 'Papayas', 'Electronic Tuners', 'Dental Cement', 'Bunion Care Supplies', 'Soldering Irons', 'Pet Playpens']
Apparel & Accessories	Arts & Entertainment	['Tool Accessories', 'Gauges', 'Masonry Jointers', 'Outdoor Beds', 'Electric Skillet & Wok Accessories', 'ROM', 'Cardstock', 'Benches', 'Power Flossers', 'Brass Instrument Mouthpieces']
Baby & Toddler	Apparel & Accessories	['Power Trowels', 'Cookie Presses', 'Karaoke Systems', 'Charging Valets', 'Bicycle Derailleurs', 'ROM', 'Wine Making', 'Kitchen Tools & Utensils', 'Egg Replacers', 'Sports & Agility Cones']
Vehicles & Parts	Apparel & Accessories	['Medical', 'Room Dividers', 'Lawn Vacuums', 'Vests', 'Printers, Copiers & Fax Machines', 'Law Enforcement', 'Weight Lifting Machines & Racks', 'Papier Mache Shapes', 'Beverages', 'Water Ski Bindings']
Baby & Toddler	Arts & Entertainment	['Inline Skates', 'Computer Racks & Mounts', 'False Eyelash Applicators', 'Chimney Cleaners', 'Fencing Weapons', 'Foot Odor Removers', 'Bulletin Board Accessories', 'Gardening Sickles & Machetes', 'Ant Farms', 'Bow & Crossbow Accessories']
Arts & Entertainment	Business & Industrial	['Sewing Machine Feet', 'Humidifiers', 'Chainsaw Bars', 'Pickleball Paddles', 'Telephone Accessories', 'Snowboards', 'Breast Pumps', 'Print Books', 'Reading Toys', 'Golf Cart Storage Covers']
Baby & Toddler	Business & Industrial	['Laundry Appliance Accessories', 'Household Cleaning Products', 'Baby & Toddler Outerwear', 'Planers', 'Sound Meters', 'Clarinet Reeds', 'Special Effects Lighting', 'Skateboarding Protective Gear', 'Back Scratchers', 'Woodwind Reed Cases']
Baby & Toddler	Cameras & Optics	['Pet Carriers & Crates', 'SIM Card Ejection Tools', 'Phone & Data Jacks', 'Brayer Rollers', 'Popcorn & French Fry Scoops', 'Basketball Autographed Paraphernalia', 'Film Cameras', 'Back Scratchers', 'Play Gyms', 'Surgical Needles & Sutures']
Business & Industrial	Cameras & Optics	['Trivets', 'Rolling Pins', 'Cosmetic & Toiletry Bags', 'Fascinators', 'Accessibility Furniture & Fixtures', 'Steamer Baskets', 'Lawn Rollers', 'Lawn Mowers', 'Coolers', 'Broccoli']
Electronics	Business & Industrial	['Baking & Cookie Sheets', 'Bird & Wildlife House Accessories', 'Wooden Pencils', 'Motor Vehicle Parking Cameras', 'Nursing Covers', 'Sewing Machine Replacement Parts', 'Jerky', 'Poncho Liners', 'Hair Iron Accessories', 'Baby Safety Locks & Guards']
Electronics	Cameras & Optics	['Crafting Adhesives & Magnets', 'Coffee & Tea Saucers', 'Pet Flea & Tick Control', 'Clay & Modeling Dough', 'Media', 'Utility Buckles', 'Navigational Compasses', 'Chicken Feed', 'Surfboard Cases & Bags', 'Bicycle Helmet Parts & Accessories']
Cameras & Optics	Food, Beverages & Tobacco	['Bird Treats', 'System & Power Cables', 'Key Blanks', 'Jewelry Cleaning & Care', 'Emergency & Exit Signs', 'Power Sweepers', 'Sport Safety Lights & Reflectors', 'Cactus Leaves', 'Soccer Goals', 'Aquarium Decor']
Electronics	Food, Beverages & Tobacco	['Yogurt Maker Accessories', 'Foosball Table Parts & Accessories', 'Feminine Sanitary Supplies', 'Mobile Phone Pre-Paid Cards & SIM Cards', 'Arts & Crafts', 'Ant Farms', 'Decorative Stickers', 'Lawn Mowers', 'Crossovers', 'Vinegar']
Electronics	Furniture	['Vehicle Paint', 'Musical Instrument Amplifier Covers & Cases', 'Avalanche Probes', 'Hunting & Tactical Pants', 'Mixing Bowls', 'Bicycle Cleat Shims & Wedges', 'Free Weight Storage Racks', 'Baking Mats & Liners', 'Kitchen Knives', 'Cabinet Doors']
Food, Beverages & Tobacco	Furniture	['Stainless Steel Cleaners & Polishes', 'Ice Cream Maker Freezer Bowls', 'Muffin & Pastry Pans', 'Thread, Yarn & Bobbin Winders', 'Flash Brackets', 'Curtain & Drape Rods', 'Tricycle Accessories', 'Undershirts', 'Ski & Snowboard Goggle Lenses', 'Coffee Grinders']
